Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL588;2201;;2023/03/01 00:00;1;124000012;122000457;;;KG;5,65;0;15,84620645;0;15,84620645;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000462;;;ROL;6,16;0;4,49802042;0;4,49802042;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000550;;;PC;86;0;739,2385583;0;739,2385583;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000622;;;ROL;0,51;0;0,43482188;0;0,43482188;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000635;;;PC;51,77;0;27,91187264;0;27,91187264;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000745;;;PC;86;0;94,99070574;0;94,99070574;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122001439;;;PC;30;0;3,3509817;0;3,3509817;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122002683;;;PC;103,54;0;146,1394777;0;146,1394777;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;201000005;;;KCAL;31186,3968;0;2,33960349;0;2,33960349;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;211000010;;;KG;68964,528;0;4007,233163;0;3824,358568;0;47,84737235;0;73,88214723;0;38,2315347;0;22,9135406;0;0;0
BL588;2201;;2023/03/01 00:00;2;124000012;211000001;;;KG;66233,64357;0;2007,293668;0;0;0;583,4856429;0;761,8289192;0;448,9839081;0;212,9951978;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;121000066;;;KG;13,1603042;0;2,02167922;0;2,02167922;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;121001087;;;L;24,33596202;0;139,3678607;0;139,3678607;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;121001351;;;KG;194,6876962;0;37,24343309;0;37,24343309;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;201000005;;;KCAL;9916932,365;0;743,968266;0;743,968266;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;201000009;;;KCAL;307,2755909;0;210,9993621;0;210,9993621;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;201000011;;;KCAL;128,3675272;0;3250,347597;0;3250,347597;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;201000058;;;KCAL;5152,600371;0;120,9066436;0;120,9066436;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;201000059;;;KCAL;78288,97591;0;435,9177152;0;435,9177152;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;3;124000012;211000005;;;KG;0,01946877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
