Posting_Date;Document_Date;Document_Header_Text;Material;Material_Description;Plant;Storage_Location;Movement_Type;Material_Document;Batch;Qty_in_Un_of_Entry;Kilos_Convertion;Unit_of_Entry;Entry_Date;Time_of_Entry;User_name;Base_Unit_of_Measure;Quantity;Amount_in_LC;Goods_recipient;
2024/04/07 00:00:00;2024/04/07 00:00:00;RS Dill 07.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519730;103625/094;-24.200;-24,200.0000;MT;2024/04/22 00:00:00;14:24:17;ID0857;MT;-24.200;0.00;211000076;
2024/04/07 00:00:00;2024/04/07 00:00:00;RS Dill 07.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519730;103625/094;-24.100;-24,100.0000;MT;2024/04/22 00:00:00;14:24:17;ID0857;MT;-24.100;0.00;211000076;
2024/04/06 00:00:00;2024/04/06 00:00:00;RS Dill 06.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519718;103625/094;-23.820;-23,820.0000;MT;2024/04/22 00:00:00;14:22:15;ID0857;MT;-23.820;0.00;211000076;
2024/04/06 00:00:00;2024/04/06 00:00:00;RS Dill 06.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519718;103625/094;-24.040;-24,040.0000;MT;2024/04/22 00:00:00;14:22:15;ID0857;MT;-24.040;0.00;211000076;
2024/04/06 00:00:00;2024/04/06 00:00:00;RS Dill 06.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519718;103625/094;-24.040;-24,040.0000;MT;2024/04/22 00:00:00;14:22:15;ID0857;MT;-24.040;0.00;211000076;
2024/04/06 00:00:00;2024/04/06 00:00:00;RS Dill 06.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519718;103625/094;-24.160;-24,160.0000;MT;2024/04/22 00:00:00;14:22:15;ID0857;MT;-24.160;0.00;211000076;
2024/04/05 00:00:00;2024/04/05 00:00:00;RS Dill 05.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407169;103625/094;-23.920;-23,920.0000;MT;2024/04/06 00:00:00;12:04:45;ID0857;MT;-23.920;0.00;211000076;
2024/04/05 00:00:00;2024/04/05 00:00:00;RS Dill 05.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407169;103625/094;-24.280;-24,280.0000;MT;2024/04/06 00:00:00;12:04:45;ID0857;MT;-24.280;0.00;211000076;
2024/04/05 00:00:00;2024/04/05 00:00:00;RS Dill 05.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407169;103625/094;-23.940;-23,940.0000;MT;2024/04/06 00:00:00;12:04:45;ID0857;MT;-23.940;0.00;211000076;
2024/04/05 00:00:00;2024/04/05 00:00:00;RS Dill 05.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407169;103625/094;-24.480;-24,480.0000;MT;2024/04/06 00:00:00;12:04:45;ID0857;MT;-24.480;0.00;211000076;
2024/04/04 00:00:00;2024/04/04 00:00:00;RS Dill 04.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407168;103625/094;-24.340;-24,340.0000;MT;2024/04/06 00:00:00;12:04:07;ID0857;MT;-24.340;0.00;211000076;
2024/04/04 00:00:00;2024/04/04 00:00:00;RS Dill 04.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407168;103625/094;-24.420;-24,420.0000;MT;2024/04/06 00:00:00;12:04:07;ID0857;MT;-24.420;0.00;211000076;
2024/04/04 00:00:00;2024/04/04 00:00:00;RS Dill 04.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407168;103625/094;-24.180;-24,180.0000;MT;2024/04/06 00:00:00;12:04:07;ID0857;MT;-24.180;0.00;211000076;
2024/04/04 00:00:00;2024/04/04 00:00:00;RS Dill 04.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407168;103625/094;-24.440;-24,440.0000;MT;2024/04/06 00:00:00;12:04:07;ID0857;MT;-24.440;0.00;211000076;
2024/04/04 00:00:00;2024/04/04 00:00:00;RS Dill 04.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407168;103625/094;-24.320;-24,320.0000;MT;2024/04/06 00:00:00;12:04:07;ID0857;MT;-24.320;0.00;211000076;
2024/04/03 00:00:00;2024/04/03 00:00:00;RS Dill 03.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054407165;103625/094;-24.320;-24,320.0000;MT;2024/04/06 00:00:00;12:02:29;ID0857;MT;-24.320;0.00;211000076;
