Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL572;2201;;2023/03/01 00:00;0;122000689;122000689;;;;81000;81000;2269.71;0;2269.71;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000689;122000689;;;;0;0;0;2333.62782;0;0;0;2333.62782;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000690;122000690;;;;140000;140000;2064.42;0;2064.42;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000690;122000690;;;;0;0;0;2383.283;0;0;0;2383.283;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000714;122000714;;;;8;8;353.42;0;353.42;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000714;122000714;;;;0;0;0;322.0051766;0;0;0;322.0051766;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000715;122000715;;;;7.5;7.5;382.05;0;382.05;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000715;122000715;;;;0;0;0;351.9507995;0;0;0;351.9507995;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000721;122000721;;;;18000;18000;63.12;0;63.12;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000721;122000721;;;;0;0;0;62.58636;0;0;0;62.58636;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000725;122000725;;;;109500;109500;1859.47;0;1859.47;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000725;122000725;;;;0;0;0;1734.538035;0;0;0;1734.538035;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122001311;122001311;;;;3000;3000;3048.78;0;3048.78;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122001439;122001439;;;;10000;10000;1259.97;0;1259.97;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122001484;122001484;;;;0;0;1746;0;1746;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002386;122002386;;;;10;10;291.73;0;291.73;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002683;122002683;;;;4565;4565;7250.73;0;7250.73;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002784;122002784;;;;511;511;2339.32;0;2339.32;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002808;122002808;;;;13150;13150;8552.43;0;8552.43;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002936;122002936;;;;520000;520000;8638.05;0;8638.05;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122002937;122002937;;;;50300;50300;20313.2;0;20313.2;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;124000012;124000012;;;KG;176000;176000;8622.44944;0;0;0;2033.98096;0;1635.38848;0;237.03504;0;4716.04496;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000218;;;;220;0;489.983153;0;489.983153;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000219;;;;268.1;0;94.64439658;0;94.64439658;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000223;;;;8.09;0;4.78090717;0;4.78090717;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000231;;;;30.78;0;8.13280641;0;8.13280641;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000351;;;;148.72;0;62.52665745;0;62.52665745;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000449;;;;5.29;0;37.89137895;0;37.89137895;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000452;;;;3.17;0;9.10745955;0;9.10745955;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000454;;;;2.49;0;210.5372737;0;210.5372737;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000457;;;;10;0;27.7192189;0;27.7192189;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000462;;;;13.03;0;10.24484949;0;10.24484949;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000550;;;;221;0;1930.263566;0;1930.263566;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000622;;;;1.18;0;1.04544807;0;1.04544807;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000635;;;;126.37;0;73.74027666;0;73.74027666;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122000745;;;;248;0;257.5793472;0;257.5793472;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122001439;;;;66.07;0;8.20843902;0;8.20843902;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122002083;;;;32.62;0;149.7132958;0;149.7132958;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;122002683;;;;278.67;0;444.5701708;0;444.5701708;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;201000005;;;;1471255.027;0;116.626386;0;116.626386;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;1;124000012;211000010;;;;176315.684;0;4704.791439;0;4341.220182;0;100.5005686;0;152.2444741;0;60.90270038;0;49.9235141;0;0;0
BL572;2201;;2023/03/01 00:00;2;124000012;211000001;;;;173451.9717;0;4306.599107;0;0;0;1248.819973;0;1791.065868;0;660.5155218;0;606.1977437;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;121000047;;;;378.7942543;0;69.74605647;0;69.74605647;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;121000066;;;;31.01728054;0;5.37909278;0;5.37909278;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;121000241;;;;80.35029636;0;11.50495156;0;11.50495156;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;121001087;;;;57.39306883;0;326.5276698;0;326.5276698;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000005;;;;23796741.76;0;1886.36772;0;1886.36772;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000007;;;;216.3121807;0;138.279973;0;138.279973;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000009;;;;509.4208789;0;500.1594466;0;500.1594466;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000011;;;;342.0213672;0;7011.870609;0;7011.870609;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000058;;;;14052.43546;0;339.3006914;0;339.3006914;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;201000059;;;;205034.365;0;1178.264619;0;1178.264619;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;211000005;;;;0.04591446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000026;;;;2.84669621;0;25.19032128;0;25.19032128;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000027;;;;0.45914455;0;3.42854501;0;3.42854501;0;0;0;0;0;0;0;0;0;0;0
